EnsemblID,baseMean,FoldChange,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000102151.1,3661.785238,-1.042306356,-0.059779379,0.086325349,-0.692489289,0.48863011,0.753275158
ENSMUSG00000031375.17,73.83677932,1.02347041,0.033469393,0.236027536,0.141802915,0.887235681,0.957484933
ENSMUSG00000102817.2,1.451684654,-1.082852719,-0.114837032,1.517656734,-0.075667329,0.939683769,NA
ENSMUSG00000026739.13,12.87340559,1.136545422,0.184655342,0.49498248,0.373054299,0.709108031,0.880737776
ENSMUSG00000018501.17,283.7034353,-1.21858013,-0.285201122,0.250009298,-1.140762059,0.253968953,0.543772989
ENSMUSG00000022378.14,1751.457093,1.145585454,0.196085079,0.101993526,1.922524766,0.05453976,0.221412498
ENSMUSG00000071359.13,997.6481469,1.040073879,0.05668601,0.112742635,0.502791249,0.615111047,0.830010382
ENSMUSG00000049775.16,1051.638368,1.680520301,0.748907971,0.114329935,6.550410205,5.74E-11,3.72E-09
ENSMUSG00000028782.14,560.1325699,-1.011545486,-0.016561195,0.115352213,-0.143570675,0.885839498,0.957130686
ENSMUSG00000087326.1,2779.36299,-1.150649105,-0.202447945,0.135117543,-1.498309852,0.134052765,0.380370941
ENSMUSG00000049090.3,2057.142454,1.10318173,0.14167047,0.101411229,1.39698997,0.162416587,0.425966695
ENSMUSG00000030527.15,1.479204483,2.696010641,1.430826191,1.46695097,0.975374242,0.329374656,NA
ENSMUSG00000038074.16,40.88863803,1.708482699,0.772715638,0.290791652,2.657282739,0.007877335,0.059421329
ENSMUSG00000108258.1,42.47240148,-1.152208339,-0.204401605,0.29466611,-0.693671915,0.487887983,0.752662272
ENSMUSG00000044268.4,275.5174868,1.048532273,0.068371267,0.119607768,0.571628988,0.567573353,0.804084911
ENSMUSG00000046311.13,1317.820507,-1.014911711,-0.02135423,0.07913687,-0.269839206,0.787283959,0.914418128
ENSMUSG00000111058.1,782.7587005,1.180399368,0.239275054,0.082511618,2.899895326,0.003732873,0.034327239
ENSMUSG00000086712.2,28.27375547,-1.127990184,-0.173754513,0.385149935,-0.451134733,0.651892446,0.850611209
